Karusasaurus polyzonus,0,0,0.97394842,0.035012277,0.571223339,0.794393114,0.301619518,0,0.073579571,0.016758759,0.017976547,0,0.233581873,0,0,0,0.146210734,0,0.015057065,0,0,0.894627979,0,0.135351345,0,0.919924838,0,0,0,0.67730185,0.255310263,0.367057228,0.94646901,0.670790785,0,0,0.686038026,0.285306598,0,0,0.562270114,0,0,0,0.931691604,0,0.127693125,0,0.987008257,0,0.001141483,0.951071144,0.036819436,0,0.457108771,0.609817087,0,0.217893916,0.062041049,0,0,0,0.913946955,0.984076924,0.73022947,0,0,0,0,0.005580877,0.392781871,0,0,0,0.401953379,0.990024634,0.240603653,0.929376407,0,0,0.972483391,0,0.904581915,0,0,0.17138816,0.148673888,0.198132644,0.368058586,0.119948461,0,0,0.99961486,0.070924964,0.122558502,0,0.994059623,0.99961499,0.99960765,0.042449614,0.210573327,0.111210331,0.101079354,0.28500072,0.999283025,0.516090502,0.002053521,0.88412626,0.001905338,0,0,0.359092796,0.97902773,0.122979852,0.099516788,0.410627474,0,0.577284609,0,0.999614802,0.188704123,0.227643464,0.141646736,0,0.10058432,0.184781024,0,0.911949075,0.963088015,0.109673982,0.479279983,0,0.742423411,0,0.99961498,0,0.157525422,0.040172226,0.999614736,0.999614831,0.317090039,0.999614701,0.999614979,0.846156017,0,0.218932453,0.120350197,0,0.039127805,0,0.999614749,0.398843172,0,0.99751964,0.001495318,0.187826791,0.112194089,0.295722434,0.004454818,0.05748641,0.430956917,0.117391795,0.999614857,0.97758805,0,0.725154577,0.752294626,0.332036098,0.003248311,0.997346461,0.999741994,0.897634587,0.439190778,0,0.999741452,0.164817778,0,0.864209719,0,0.981834121,0.097846099,0.27224204,0.940433392,0,0.076465929,0.474472397,0,0,0.981884293,0.985418754,0,0.999741995,0.999742,0.608736052,0.999741455,0
Namazonurus lawrenci,0,0,0.82958301,0,0,0.699309547,1,0,0,0.061268074,0.000338313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035523383,0,0,0,0,0.239393141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.870531452,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.558776295,1,0,0,0,0,0,0,0,0,0,0.940574159,1,0,0,0,0,0.784919695,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0.963777496,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0.029591992,0,1,1,0.00465922,0,0,1,0,0,1,0,1,0,0,1,0,0,0.162162332,0,0,1,1,0,1,1,0,1,0
Namazonurus peersi,0,0,1,0,0,0.721228605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.791767166,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.97755891,0,1,0,1,0,0,0.766405219,0,0,0,0,0,0.005485887,0.415744005,0,0,0,0.562972009,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.68150321,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.019111147,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.080488388,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0.925553152,0.300860559,0,1,0,0,1,0,1,0.003090239,0,1,0,0,0,0,0,1,1,0,1,1,0.481395593,1,0
Ninurta coeruleopunctatus,0,0,1,0,1,0.30447466,0,0,0.185548151,0,0,0,0.285249101,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.997805673,0.9940839,1,0,0,1,0,0,0,0.125669098,0,0,0,1,0,0,0,1,0,0,1,0,0,0.910498925,1,0,0,0,0,0,0,1,1,0.907172717,0,0,0,0,0,0.72228982,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0.160200644,0,0,0,0,0,0,0.994813013,0.511550573,0.872757334,0,0.994811888,0.994811074,0.994815224,0,0.063565496,0.079261923,0,0,0.994812253,0.459998808,0,0.99480674,0,0,0,0.994811408,0.994811888,0.06734588,0,0.961062584,0,0.994811888,0,0.994812531,0.994836038,0,0.994811955,0,0.194607024,0.988092787,0,0.994836979,0.994812859,0.966977247,0,0,0.994813623,0,0.994811647,0,0.994813142,0.219337029,0.994809603,0.99481085,0,0.994811317,0.994811647,0.482459617,0,0,0,0,0.219689481,0,0.994811239,0.994811647,0,0.994810358,0,0.994811599,0.866589597,0,0.013960826,0.02886093,0,0.987140611,0.994812859,0.994812859,0,0.994811629,0.99481547,0.918486241,0,0.995507331,0.995556889,0.367984649,0.995556889,0,0.995549775,0.99554881,0,0,0,0.724790195,0.513378056,0,0.99554881,0,0,0.80946347,0,0,0.720675822,0.842059716,0,0.995556889,0.995556889,0.995549389,0.99554881,0
Ouroborus cataphractus,0,0,0.942870379,0.055418944,0.273294342,0.453602648,0.918938761,0,0.244833629,0.061069359,0,0,0,0,0,0,0,0,0,0,0,0.958438453,0,0,0,0.701032238,0,0,0,0.509192263,0.840697764,0.09991558,0.969470743,0.410281202,0,0,0.396962152,0,0,0,0.7297477,0,0,0,0.932304319,0,0.772810604,0,1,0,0,0.844817025,0,0,0.161543429,0.410230363,0,0.025846693,0.149546922,0,0,0,0.671910758,0.997557824,1,0,0,0,0,0,0,0,0,0,0.862216197,1,0.296467808,0.807404699,0,0,0.926794169,0,0.634451167,0,0,0,0,0,0.596755503,0,0,0,0.999636809,0,0.043057648,0,0.999636653,0.999637285,0.999676719,0,0.028645741,0.019173651,0,0,0.999636706,0.032488876,0,0.999635224,0,0,0,0.467433831,0.999636706,0,0,0.255233358,0,0.066214977,0,0.999636219,0.268770629,0,0,0,0.080159575,0.278689893,0,0.592556133,0.999636317,0.115729478,0,0,0.999635988,0,0.999637292,0,0.308435766,0,0.999635834,0.999635911,0,0.999636934,0.999637285,0.900909571,0,0,0,0,0,0,0.99963626,0.540149792,0,0.999636223,0,0,0.013184981,0,0,0,0.047783459,0,0.999636317,0.999636317,0,0.95223122,0.99963626,0.400367672,0.002789605,0.999760215,0.999762286,0.823235278,0.590972643,0,0.999762236,0.34083119,0,0.924544518,0,0.990639045,0.213114874,0,0.999762236,0,0,0.596815917,0,0,0.999762272,0.999762263,0,0.999762286,0.999762283,0.559767232,0.999762236,0
Pseudocordylus langi,0.501762616,0,0.501762616,0,0.501762616,0,0,0,0,0,0,0,0.501762616,0,0,0,0.501762616,0,0.501762616,0,0.501762616,0.501762616,0,0.194913746,0,0.501762616,0.458856006,0,0,0.501762616,0,0.501762616,0.501762616,0.501762616,0.501762616,0,0.501762616,0.501762616,0,0,0,0,0,0.501762616,0.501762616,0,0,0,0,0,0,0.501762616,0,0,0.501762616,0.501762616,0,0,0,0,0,0,0,0.501762616,0,0,0,0,0,0.501762616,0.501762616,0,0,0,0,0,0,0.501762616,0.501762616,0,0.501762616,0,0.501762616,0,0,0.501762616,0.501762616,0.501762616,0,0.472298534,0,0,0.502154853,0,0,0,0.502154853,0.502154853,0.502154853,0,0.502154853,0.469686154,0,0,0.502154853,0,0,0.032938959,0,0,0,0.502154853,0.502154853,0,0.502154853,0.502154853,0,0.070591714,0,0,0,0,0,0,0.502154853,0.502154853,0,0.502154853,0.502154853,0.10451461,0.461904057,0,0.502154853,0,0.502154853,0,0,0.000355965,0.502154853,0.502154853,0,0.502154853,0.502154853,0.04717921,0,0,0.502154853,0,0,0,0.502154853,0.502154853,0,0.502154853,0.491091855,0.502154853,0.096879925,0,0,0,0.502154853,0,0.502154853,0.502154853,0,0.502154853,0.502154853,0.502154853,0,0.501762616,0.501762616,0,0.498607073,0,0.218907068,0,0.004523853,0.134152115,0,0.383596282,0,0.085652608,0.501762616,0,0.501762616,0.501762616,0,0,0,0.501762616,0,0.501762616,0.501762616,0.501762616,0.501762616,0
Pseudocordylus melanotus,1,0,1,0,0.906678803,0.190496146,0,0,0,0,0,0.428534807,1,0.395559743,0.067302407,0.776794434,1,0,1,0.003761883,0.980615381,0.676474899,0.029103559,0.989745608,0.04073386,1,0.859413143,0.682272272,0.094763616,0.962551227,0,0.450919371,0.94742767,0.975117652,0.788684594,0.001615942,1,1,0,0.138737957,0,0.225017733,0.138248328,1,0.998731109,6.15E-05,0,0.604975674,0,0.45114061,0,0.984946583,0.835497616,0.433772157,0.879073263,0.979501635,0,0.841918339,0,0,0.26868007,0.117574102,0.264996313,1,0,0.359897543,0,0.891630502,0.329205841,1,0.978179821,0.737851917,0,0.926055371,0,0,0,1,0.740817551,0,1,0.049613483,1,0.052285396,0.004713648,1,1,1,0,1,0.757541738,0,0.999907737,0.280790514,0.377205983,0.174789809,0.999907737,0.999907737,0.999907737,0.282151768,0.193342733,0.246083329,0.25088523,0.550554213,0.999907737,0.441666491,0.338159028,0.519193357,0.395911386,0,0.104182552,0.999907737,0.610444209,0.61670624,0.61064857,0.999907737,0.067332959,0.321330897,0.055486515,0.068444081,0.322854106,0.50666711,0.078744728,0.157362986,0.402614331,0.999907737,0.125758622,0.999907737,0.963959841,0.367549144,0.574465443,0.160571087,0.887207834,0.147997867,0.999907737,0.307428001,0.153839698,0.29269528,0.999907737,0.999907737,0,0.999907737,0.999907737,0.64397877,0.028804033,0.510917555,0.999907737,0,0.323289902,0,0.999907737,0.105104884,0.032336365,0.999907737,0.943192429,0.999907737,0.433248225,0.873888994,0.025939119,0.178884849,0.999907737,0.61868967,0.999907737,0.987499808,0.001151031,0.960152786,0.868248306,0.45814872,0,0.9999814,1,0.923244173,1,0.237824349,0.924707249,0,0.409782039,0.64790254,0.004863418,0.948952024,0.001695404,0.991353654,0.17038815,0.027046527,1,1,0.478461688,0.088797902,0.176480701,0.918912896,0.055850586,1,1,0.98347184,1,0.166451702
Pseudocordylus microlepidotus,0,0.007685509,0.983349832,0.105206891,0.96245181,0.552938676,0.1111766,0,0.187212145,0,0,0,0.433441515,0,0,0,0.066390917,0,0,0,0,1,0,0,0,0.920042681,0,0,0,0.985111414,0.245689144,0.855617213,0.972034498,0.999753759,0.033837987,0,0.998458024,0.226310687,0,0,0.299220706,0,0,0,0.999482263,0,0.072460304,0,0.998500252,0,0,0.998280942,0,0,0.869342369,0.999925411,0,0,0,0,0,0,0.950181845,0.998353834,0.880041498,0,0,0,0,0,0.652807195,0,0,0,0.095242289,0.999817246,0.674589849,0.995698063,0.023933404,0,0.986356871,0,0.994173491,0,0,0.355360098,0.250559731,0.074742868,0.16834481,0,0,0,0.999175173,0.236470698,0.395839832,0,0.999174997,0.999175112,0.999175444,0.127466254,0.437744929,0.276820515,0.085988307,0,0.998058211,0.407540032,0,0.979863134,0,0,0,0.917023145,0.999175002,0.30249771,0,0.654710374,0,0.692656887,0,0.999175158,0.531577115,0,0.439097172,0,0.234713391,0.511662689,0,0.992927634,0.999175222,0.363780377,0.189954599,0,0.999174942,0,0.999175157,0,0.437712383,0.162226422,0.999174883,0.99917511,0,0.99917477,0.999175157,0.574594702,0,0,0.214147511,0,0.158528647,0,0.999175082,0.694973305,0,0.999174866,0,0.461821776,0.374390755,0,0.047465359,0.157268915,0.029591452,0.329387786,0.999175222,0.999175222,0,0.849403263,0.941595318,0.806093342,0.008327634,0.999329974,0.999350105,0.80263512,0.818775446,0,0.986507141,0.470712996,0,0.630334264,0,0.965791295,0.239275831,0,0.999349716,0,0.089337071,0.540111126,0,0,0.930695041,0.933316269,0,0.999350105,0.999350119,0.807112707,0.999349716,0
Pseudocordylus spinosus,0.832984834,0,0.832984834,0,0.820647656,0,0,0,0,0,0,0,0.832984834,0,0,0,0.832984834,0,0.832984834,0,0.810483418,0.832984834,0.174506081,0.094036334,0,0.832984834,0.832984834,0,0,0.832984834,0,0.832984834,0.832984834,0.832984834,0.832984834,0,0.832984834,0.832984834,0,0,0,0,0,0.832984834,0.832984834,0,0,0.02662917,0,0,0,0.832984834,0,0,0.832984834,0.832984834,0,0,0,0,0,0,0,0.832984834,0,0,0,0.198101446,0,0.832984834,0.832984834,0,0,0.044868667,0,0,0,0.832984834,0.832984834,0,0.832984834,0,0.832984834,0,0,0.832984834,0.832984834,0.832984834,0,0.478105368,0,0,0.833737006,0.066458661,0.019926691,0,0.833737006,0.833737006,0.833737006,0.005936005,0.833737006,0.807439926,0,0.062250838,0.833737006,0.03521728,0.061782322,0.577561806,0.179861034,0,0,0.833737006,0.833737006,0,0.833737006,0.833737006,0,0.68598313,0,0,0.013935197,0,0,0,0.635697409,0.833737006,0,0.833737006,0.833737006,0.699738837,0.648907629,0,0.833737006,0,0.833737006,0,0.156692804,0.409577056,0.833737006,0.833737006,0,0.833737006,0.833737006,0.010461945,0,0,0.833737006,0,0.024460935,0,0.833737006,0.833737006,0,0.833737006,0.832658722,0.833737006,0.700993734,0,0,0.617214878,0.833737006,0,0.833737006,0.833737006,0,0.833737006,0.833737006,0.833737006,0,0.832984834,0.832984834,0,0.832871813,0,0.255341714,0.099737195,0.489393953,0.043627487,0,0.520535934,0,0.69345819,0.726142317,0,0.832984834,0.832984834,0,0,0,0.832984834,0,0.832984834,0.832984834,0.832984834,0.832984834,0
Pseudocordylus subviridis,0.334366082,0,0.745847283,0,0.668456811,0.002977412,0,0,0,0,0,0,0.745847283,0.006557692,0,0.032666241,0.745847283,0,0.32274641,0,0.246324013,0.745847283,0.232322714,0.147820144,0,0.745847283,0.194571924,0,0,0.745847283,0,0.745476562,0.745847283,0.745847283,0.745847283,0,0.745847283,0.745847283,0,0,0,0,0,0.252681692,0.745847283,0,0,0.046648029,0.052168539,0,0,0.745847283,0.099851047,0,0.745847283,0.745847283,0,0.043330167,0,0,0,0,0.37219464,0.745847283,0,0,0,0.101039699,0,0.389263569,0.745847283,0,0,0.076209496,0,0.175237797,0.063270504,0.745847283,0.66265199,0,0.745847283,0,0.745847283,0,0,0.745847283,0.745847283,0.745847283,0,0.188912713,0.00137736,0,0.745749978,0.276471559,0.280549352,0,0.745749978,0.745749978,0.745749978,0.42617011,0.73467266,0.558811248,0.137335416,0.111626714,0.741427037,0.258750076,0.078173394,0.471488429,0.060649018,0,0,0.693603569,0.745750095,0.347359198,0.528830606,0.745749978,0,0.316382087,0,0.208033742,0.222448103,0,0.066468102,0,0.473453765,0.745749978,0,0.745749978,0.745749978,0.226393594,0.113550466,0,0.745749978,0,0.745749978,0,0.414408029,0.332496925,0.745749978,0.745749978,0,0.745749978,0.745749978,0.148636154,0,0.062669347,0.745749978,0,0.243628133,0,0.745749978,0.578685609,0,0.745749978,0.534933619,0.569830596,0.407363152,0.066270511,0,0.397957631,0.420495939,0,0.745749978,0.745749978,0.026237738,0.737949516,0.726633962,0.656487387,0,0.745847283,0.745847283,0.270046639,0.725527221,0,0.44776761,0.42447119,0.11743737,0.298919418,0,0.413248606,0.017229967,0.333611111,0.556235441,0,0.745847283,0.745847283,0,0,0.449204837,0.65270838,0,0.745847283,0.745847283,0.745847283,0.745847283,0
Pseudocordylus transvaalensis,1,0,1,0,0.425941619,1,0,0,0,0,0,0.968452348,1,0.084366909,0.003555623,1,1,0,1,0.279629775,0.48987782,0,0,1,0,1,0.604856953,1,0.037477946,0.278598776,0,0,0.918407811,1,0,0,1,1,0,0.576906798,0,0.984795532,0.999798625,1,0.41090649,0.757481658,0,0.232855021,0,1,0,0.901124412,1,0.756049065,0,0.387689294,0,1,0,0,0.453714667,0.078907106,0.721909958,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.0073107,0,1,0,1,0,0,0.991783351,1,1,0,1,0.999051534,0,1,0.663556424,1,0.766479594,1,1,1,0.711014992,0,0,0.500201813,1,1,0.948764605,0,0.042841273,1,0,0.120124854,1,0,1,1,0.999813577,0.34367191,1,0.008773536,0.826209038,0.857334065,1,0.057663878,1,0.326504614,1,0.240440924,1,1,0.119986146,0.444720576,0.993558115,1,1,1,1,0,0,1,1,0,1,1,0.902248207,0,1,1,0,0.993699456,0,1,0,0,1,0.992431649,1,0.259533029,1,0.097361295,1,1,1,1,1,0,0.801704816,1,0.109395753,0,1,1,1,1,1,1,0,0.458233547,0,0.149558362,1,0,1,0,0,0.331415462,1,1,0.505930017,0.248857201,0.798278333,0,1,1,1,1,0.005959645
Smaug breyeri,1,0,1,0,0.004835239,1,0,0,0,0,0,0.577815742,0.759210526,0,0,0.789473684,1,0,1,0.039271658,0.006084876,0,0,1,0,1,0.043126591,0.753564941,0,0,0,0,0.789093322,0.975950039,0,0,1,1,0,0.140667297,0,0.832706767,0.614283793,1,0.022791719,0.967933572,0,0,0,1,0,0.314937409,1,0.371541965,0,0.006375182,0,1,0,0,0,0,0.497682239,1,0,1,0,1,0.7644176,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.445293714,0.772727273,1,0,1,0.711232879,0,1,0.087793094,1,0.527576022,1,1,1,0.584181042,0,0,0.147701066,1,1,0.982545532,0.451227397,0.487160642,1,0,0.585507362,1,0,1,1,0.937091472,0,1,0,1,0.670220533,1,0,1,0,1,0.863720366,1,1,0,0.689557122,0.984277988,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0.573725466,1,0,1,0,1,1,1,1,0.721832629,0,0.180263991,1,0,0,1,1,1,1,1,1,0,0,0,0,0.840667357,0,1,0,0,0.005676652,1,1,0.831278181,0.869097588,1,0,1,1,1,1,0.615890273
Smaug depressus,1,0,1,0,0,0.884998856,0,0,0,0,0,0.844054228,0.773236936,0.02647829,0.855429392,0.898625683,1,0.692587553,1,0,0,0,0,1,0.295030271,1,0.616748532,0.965124871,0,0.021506045,0,0,0,0.021206111,0,0,0.865424775,1,0,0.811001376,0,1,1,0.661248838,0,0.055423511,0,0.585612493,0,1,0,0,0.994397537,1,0,0,0,1,0,0,1,0.909532919,0,0.353906067,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0.702602653,0,0.616489406,0.936335471,1,0,1,0.988034731,0,1,0.869212393,1,1,1,1,1,0.32309534,0,0,0.987701775,1,1,0.983644044,0.650196385,0.937001601,1,0,1,1,0,1,1,0.655828234,1,1,0.876703989,0.493300622,1,1,1,1,0.009489357,1,0.941249025,1,0.979023965,0.488717806,1,1,1,1,1,1,0.34706032,0.393661704,1,1,0,1,1,0.012682984,0.629085116,0.979053671,1,0,1,0.007956592,1,0.716254867,0,1,0.936761763,1,1,1,1,1,1,1,1,0.88020992,0.193439905,0.212530283,1,0.412015961,0,1,1,0.579435175,1,1,1,0,1,0,0.997935283,0.460386922,0,1,0,0.043502434,0.634473978,1,1,1,0.841373244,0,0.151876264,1,1,1,1,0.999960279
Smaug giganteus,0.958071787,0,0.958071787,0,0.958071787,0.323559901,0,0,0,0,0,0,0.958071787,0,0,0.215245342,0.958071787,0,0.958071787,0,0.952266206,0.958071787,0,0.953558297,0,0.958071787,0.388784508,0.112403608,0,0.958071787,0,0.602604116,0.958071787,0.958071787,0.810871181,0,0.958071787,0.958071787,0,0,0,0,0,0.935142018,0.958071787,0,0,0.111179666,0,0,0,0.958071787,0.896878831,0.034684217,0.958071787,0.958071787,0,0.716664813,0,0,0,0,0.625812661,0.958071787,0,0,0,0.355894083,0,0.958071787,0.958071787,0.151509172,0,0.418511096,0,0,0,0.958071787,0.481411059,0,0.958071787,0,0.958071787,0,0,0.958071787,0.958071787,0.958071787,0,0.958071787,0.176226701,0,0.958213439,0,0,0,0.958213439,0.958213439,0.958213439,0.625934961,0.414518622,0.180343807,0,0.253830414,0.958213439,0.16193488,0.084914592,0.083930072,0,0,0,0.954761098,0.958213439,0.892649439,0.958213439,0.958213439,0,0.108727858,0,0.165865498,0,0.053066706,0,0,0.463348371,0.958213439,0,0.958213439,0.958213439,0.268564867,0.16226376,0,0.953108984,0,0.958213439,0,0,0,0.958213439,0.958213439,0,0.958213439,0.958213439,0.956722297,0,0.796521869,0.958213439,0,0,0,0.958213439,0.231179447,0,0.958213439,0.958213439,0.958213439,0.021476338,0.802631682,0,0.058945581,0.958213439,0.054633787,0.958213439,0.958213439,0,0.80242569,0.692548924,0.158396176,0,0.958071787,0.958071787,0.949251897,0.957375938,0,0.958071787,0,0,0.958071787,0,0.956985223,0,0.858636869,0.379856646,0,0.958071787,0.958071787,0,0,0.743032821,0.958071787,0,0.958071787,0.958071787,0.958071787,0.958071787,0
Smaug vandami,1,0,1,0,0.581490709,0.587880842,0,0,0,0,0,1,0.980102388,0.274605604,0.32850731,1,1,0.198593511,1,0.110716723,0.619346373,0,0,1,0.131919452,1,0.946076388,1,0.126412362,0.565562587,0,0,0.556104917,0.691368622,0,0,1,1,0,0.799287392,0,0.967940971,0.999023542,0.999206931,0.553174185,0.239812458,0,0.657557473,0,1,0,0.608407381,1,0.998710586,0.049988637,0.542211686,0,1,0,0,0.876895075,0.435043012,0.175322331,0.936943898,0,1,0,1,1,1,0.138398194,1,0,1,0,0,0,1,0.237046315,0,1,0.16013938,1,0.236237263,0.001695483,0.95071935,0.995044399,1,0,1,1,0,1,0.911747608,1,0.898008823,1,1,1,0.426349697,0,0,0.757570227,0.988927753,0.999916501,0.874735554,0.228693361,0.401202638,0.999959023,0,0.483598637,1,0,0.985793773,0.999478299,0.876159348,0.681654641,0.995061108,0.319468558,0.323094216,0.906162417,0.989796488,0.444463227,1,0.172245939,1,0.20366106,1,0.874959551,0.311223072,0.70577693,0.800653709,1,0.890881269,1,1,0.140011486,0.321929689,1,1,0,1,1,0.551414235,0.189868826,0.697308829,1,0,0.853333833,0,1,0.09536537,0.021960665,1,0.892377334,1,0.682032796,1,0.453937304,0.812692537,1,1,1,0.95563079,0,0.837766498,1,0.324036704,0,1,1,0.957596362,1,0.923537494,1,0,0.77376724,0.095500196,0.312527401,0.692019729,0,1,0,0.039422912,0.782445467,1,1,0.567446825,0.133577464,0.478228482,0.119908672,1,1,0.969620998,1,0.41667496
